Date,Close,High,Low,Open,Volume,Code
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2024-03-14,4147.53369140625,4164.685198090091,4027.6695193836954,4094.1568164313294,2919608,TCS.NS
2024-03-15,4159.01708984375,4178.48514400608,4117.370239800282,4132.7476345400055,3373143,TCS.NS
2024-03-18,4093.219970703125,4194.010275821583,4059.064721514359,4155.074167731812,1526904,TCS.NS
2024-03-19,3920.52099609375,4000.0688926740686,3909.973795049948,3993.4152541759045,8931209,TCS.NS
2024-03-20,3914.21240234375,3960.6401116619527,3903.6652007996604,3929.096935063351,1817913,TCS.NS
2024-03-21,3916.233154296875,3951.1770312154736,3891.6393821179518,3933.089135420767,3829582,TCS.NS
2024-03-22,3855.06884765625,3881.782070917332,3799.96695870653,3841.367376933683,5852485,TCS.NS
2024-03-26,3822.145751953125,3890.3578214326726,3816.182072152344,3819.681441345805,3440925,TCS.NS
2024-03-27,3786.068115234375,3839.3958925717657,3774.7322865400038,3832.9886850488606,1968575,TCS.NS
2024-03-28,3820.962890625,3859.1103702922246,3785.6739149699333,3795.1369638641995,4311783,TCS.NS
2024-04-01,3860.83544921875,3877.149233657871,3832.54521142588,3842.0573541590775,1569676,TCS.NS
2024-04-02,3828.35595703125,3854.0341223225346,3817.710086814565,3834.4673993567408,2142666,TCS.NS
2024-04-03,3890.949462890625,3924.1683226909017,3796.0241674661297,3796.0241674661297,3973090,TCS.NS
2024-04-04,3946.14990234375,3971.1378674612774,3879.0713196089387,3919.140913745663,3394637,TCS.NS
2024-04-05,3922.443359375,3944.8685868489665,3903.9610290393134,3921.2112040192874,1636819,TCS.NS
2024-04-08,3915.8388671875,3975.080749458608,3903.4679798777806,3926.139637336667,2302538,TCS.NS
2024-04-09,3890.210205078125,3958.520945808155,3869.017133059688,3927.1255312303338,1876992,TCS.NS
2024-04-10,3927.76611328125,3933.236931106762,3862.067686996596,3899.919402674396,2101965,TCS.NS
2024-04-12,3944.27685546875,3956.0564525946997,3889.17496702509,3914.310935003582,4354821,TCS.NS
2024-04-15,3884.936279296875,4006.1803593419468,3863.1025839086137,3944.276829691934,4200329,TCS.NS
2024-04-16,3817.512939453125,3872.61482899581,3807.7050312557853,3846.2960395421064,3051420,TCS.NS
2024-04-18,3806.8671875,3879.810784567582,3795.0384960836354,3821.455955044585,3476284,TCS.NS
2024-04-19,3771.577880859375,3797.5518097567287,3746.6390105017,3783.209474534867,2957749,TCS.NS
2024-04-22,3809.4296875,3822.63829499055,3757.5805003878227,3782.2236044040073,1728883,TCS.NS
2024-04-23,3819.3857421875,3839.395992797073,3805.4871745143505,3821.7022904606933,1807586,TCS.NS
2024-04-24,3776.35888671875,3842.3530762623277,3769.8530104916786,3834.4672823654323,1317312,TCS.NS
2024-04-25,3797.206787109375,3818.350523469226,3756.594997430382,3756.7920941430552,2856271,TCS.NS
2024-04-26,3766.79736328125,3821.455723423755,3748.2656997210925,3800.114649560354,2039178,TCS.NS
2024-04-29,3814.949951171875,3822.4415517476627,3764.6780143302517,3783.2096783950938,1110693,TCS.NS
2024-04-30,3766.107177734375,3826.3350243639015,3755.6093109619283,3816.7242131350617,2203078,TCS.NS
2024-05-02,3808.148681640625,3815.8373792012935,3724.115686272238,3724.115686272238,2491044,TCS.NS
2024-05-03,3788.53271484375,3838.016267704584,3743.386733993244,3834.615326312554,2962234,TCS.NS
2024-05-06,3865.07421875,3883.7043112956317,3797.9956336682126,3797.9956336682126,2053831,TCS.NS
2024-05-07,3922.147705078125,3931.068558237291,3857.6320969562785,3874.6851756935434,2062112,TCS.NS
2024-05-08,3920.176025390625,3927.421194922573,3882.3736446277253,3904.45377166407,1247685,TCS.NS
2024-05-09,3903.6650390625,3914.3109088545148,3854.231065297169,3905.439390803724,1726486,TCS.NS
2024-05-10,3838.311767578125,3916.874187059456,3829.5882518889002,3906.0312197253584,1672489,TCS.NS
